landa;clean water;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;T_10;T_11;T_12;T_13;T_14;T_15;T_16;T_17;T_18;T_19;T_20;T_21;T_22;T_23;T_24;T_25;T_26;T_27;T_28;T_29;T_30;T_31;T_32;T_33;T_34;T_35
NA;NA;0.499978;1.425635;2.4575;3.468868;4.497568;5.498333;6.481481;7.4884;8.492727;9.4765;10.474444;11.48125;12.469333;13.498;14.517143;15.524667;16.497857;17.496429;18.496923;19.490667;20.505333;21.507059;22.495;23.491;24.503889;25.497368;26.47875;27.52;28.503;29.505263;30.494444;31.481765;32.477778;33.475;34.474444;35
400.1;-1.1268;0.052965;0.048005;0.046256;0.041819;0.039334;0.034837;0.034035;0.031597;0.029481;0.030482;0.025285;0.024450;0.023601;0.021663;0.021395;0.017044;0.013205;0.013572;0.010680;0.007009;0.005469;0.007985;0.005956;0.003537;-0.000992;0.000000;-0.002622;-0.007185;-0.008030;-0.009728;-0.010664;-0.015504;-0.015260;-0.017509;-0.018879;-0.015444
403.9;-0.9678;0.041854;0.038881;0.035945;0.032766;0.031268;0.029253;0.030192;0.025581;0.023675;0.023615;0.020477;0.018362;0.019255;0.017961;0.015388;0.010720;0.010038;0.010408;0.009358;0.006819;0.004667;0.004949;0.006083;0.003148;0.000605;0.000000;-0.001946;-0.003158;-0.005274;-0.006489;-0.009055;-0.011429;-0.012360;-0.013542;-0.014128;-0.012882
407.5;-0.8292;0.034078;0.031256;0.028325;0.026133;0.026137;0.022689;0.022044;0.020051;0.019408;0.017695;0.014073;0.014811;0.013118;0.012208;0.011885;0.010523;0.008271;0.008541;0.005932;0.005624;0.001997;0.002890;0.003003;0.001642;-0.001004;0.000000;-0.002337;-0.004017;-0.004659;-0.006625;-0.008052;-0.010122;-0.011204;-0.012685;-0.012769;-0.015651
411;-0.7019;0.029135;0.025679;0.024758;0.022231;0.020002;0.018526;0.018667;0.017198;0.015616;0.016644;0.013134;0.012896;0.012527;0.011565;0.010872;0.008194;0.006303;0.006774;0.006480;0.003731;0.002556;0.003383;0.003826;0.001920;-0.000236;0.000000;-0.002229;-0.003582;-0.003824;-0.005800;-0.005967;-0.008390;-0.008767;-0.009385;-0.010046;-0.010317
414.6;-0.5845;0.023877;0.021635;0.019375;0.017044;0.016741;0.015431;0.015219;0.012755;0.011822;0.011216;0.010388;0.010172;0.008784;0.008174;0.007562;0.005372;0.005094;0.005179;0.003737;0.003304;0.002271;0.001434;0.001991;0.001425;-0.001728;0.000000;-0.001902;-0.002590;-0.004265;-0.004844;-0.006939;-0.007243;-0.008242;-0.009252;-0.008914;-0.013503
418.5;-0.4763;0.020683;0.018390;0.017446;0.016726;0.015047;0.013684;0.012725;0.011814;0.011384;0.011539;0.008889;0.008560;0.007781;0.007765;0.007022;0.005685;0.004716;0.004634;0.003682;0.003638;0.001724;0.002750;0.002534;0.001348;-0.000150;0.000000;-0.001188;-0.002377;-0.003046;-0.004038;-0.004308;-0.005668;-0.005901;-0.006664;-0.006637;-0.009135
422.8;-0.3806;0.017494;0.016477;0.015618;0.013613;0.012474;0.011789;0.011699;0.010821;0.009253;0.009831;0.007791;0.007884;0.008088;0.005895;0.005624;0.004337;0.003972;0.004315;0.003893;0.002426;0.002141;0.002121;0.001764;0.001378;0.000108;0.000000;-0.001301;-0.002445;-0.002123;-0.003656;-0.003974;-0.004500;-0.005336;-0.005834;-0.005614;-0.007976
427;-0.2889;0.013450;0.012379;0.011564;0.010675;0.010521;0.009810;0.009456;0.008097;0.007712;0.007611;0.005801;0.005892;0.005342;0.005380;0.004433;0.003426;0.003121;0.003218;0.002203;0.002773;0.001224;0.001248;0.000939;0.001145;-0.000441;0.000000;-0.001292;-0.001647;-0.002844;-0.002512;-0.003887;-0.004701;-0.004561;-0.004911;-0.004706;-0.006914
431.3;-0.204;0.011668;0.010403;0.010339;0.009722;0.008976;0.007884;0.007140;0.007134;0.007114;0.007357;0.005646;0.004865;0.005562;0.004613;0.004420;0.003740;0.003319;0.003195;0.002327;0.002349;0.001368;0.001687;0.001441;0.001232;0.000355;0.000000;-0.000738;-0.002042;-0.001879;-0.002123;-0.002287;-0.003121;-0.003176;-0.003750;-0.003408;-0.003201
434.8;-0.1249;0.009743;0.009214;0.008712;0.007534;0.006744;0.006554;0.007202;0.006271;0.005522;0.005905;0.004655;0.004686;0.004416;0.003910;0.003531;0.002232;0.002523;0.002263;0.002404;0.001889;0.001555;0.001999;0.001632;0.000928;0.000175;0.000000;-0.000378;-0.001140;-0.001360;-0.002078;-0.002251;-0.002805;-0.002259;-0.002831;-0.002381;-0.004094
438.7;-0.0617;0.007727;0.006892;0.006359;0.006287;0.006338;0.005851;0.005276;0.004410;0.004736;0.004275;0.003906;0.003855;0.003399;0.003038;0.003065;0.002455;0.002412;0.002200;0.001336;0.002036;0.001028;0.000976;0.000978;0.000979;0.000086;0.000000;-0.000682;-0.000684;-0.001216;-0.001187;-0.001805;-0.002512;-0.002177;-0.002158;-0.002406;-0.003687
